Date,Open,High,Low,Close,Volume,Tick Volume
2012.11.16,30.57000,30.63000,29.93000,29.99000,14326,7060200
2012.11.19,30.44000,30.80000,30.27000,30.39000,6588,3765100
2012.11.21,30.72000,30.87000,30.21000,30.81000,14032,8160100
2012.11.22,30.95000,30.99000,30.64000,30.67000,1255,1225700
2012.11.23,30.67000,31.21000,30.60000,31.21000,7127,2836000
2012.11.26,31.19000,31.23000,30.65000,30.94000,6384,3600400
2012.11.27,31.16000,31.42000,30.83000,30.83000,8782,4924100
2012.11.28,30.34000,30.94000,30.23000,30.32000,10559,6280400
2012.11.29,30.77000,31.70000,30.72000,31.66000,12034,4628200
2012.11.30,31.53000,31.78000,31.07000,31.78000,12244,4973700
2012.12.03,31.72000,31.93000,31.11000,31.59000,10943,5178400
2012.12.04,31.82000,31.82000,31.02000,31.02000,12076,5001400
2012.12.05,31.48000,31.64000,31.16000,31.53000,11867,5251600
2012.12.06,31.47000,31.65000,31.19000,31.32000,8219,2463600
2012.12.07,31.58000,31.97000,31.48000,31.68000,8224,3255700
2012.12.10,31.36000,32.25000,31.36000,32.25000,8237,3267100
2012.12.11,32.40000,32.96000,32.15000,32.96000,9786,3597700
2012.12.12,32.96000,33.61000,32.86000,33.30000,17704,6521100
2012.12.13,32.97000,33.59000,32.80000,33.49000,11655,4283000
2012.12.14,33.74000,34.82000,33.69000,34.82000,12260,4361800
2012.12.17,34.82000,35.50000,34.73000,35.50000,9148,3296100
2012.12.18,35.69000,36.35000,35.57000,36.19000,16820,5741600
2012.12.19,36.18000,36.81000,35.30000,35.54000,15678,4820000
2012.12.20,35.35000,35.75000,35.04000,35.71000,8429,2559600
2012.12.21,34.88000,35.42000,34.82000,35.41000,7098,3016600
2012.12.26,34.96000,36.00000,34.95000,35.64000,4349,1415700
2012.12.27,35.35000,36.01000,35.30000,35.64000,8094,2081800
2012.12.28,35.64000,35.90000,35.44000,35.74000,8681,2474000
2013.01.02,36.35000,37.83000,36.35000,37.27000,12531,4051600
2013.01.03,36.77000,37.25000,36.64000,36.64000,11712,4114500
2013.01.04,36.63000,36.64000,35.59000,35.95000,12255,5639400
2013.01.07,35.95000,36.24000,35.19000,35.36000,10834,3028400
2013.01.08,35.31000,35.69000,35.04000,35.09000,8000,2628300
2013.01.09,35.25000,35.54000,34.96000,35.25000,7652,2286200
2013.01.10,35.34000,35.68000,35.30000,35.62000,9852,2977100
2013.01.11,35.29000,35.52000,34.60000,34.88000,8250,2993000
2013.01.14,35.16000,35.24000,34.68000,35.02000,12928,4076900
2013.01.15,34.74000,35.05000,34.49000,34.79000,7963,2570800
2013.01.16,34.85000,34.85000,34.07000,34.57000,9576,2950800
2013.01.17,34.32000,34.86000,34.27000,34.64000,7990,2802100
2013.01.18,34.73000,34.91000,34.26000,34.32000,7945,2493600
2013.01.21,34.39000,34.46000,34.05000,34.30000,2950,905500
2013.01.22,34.39000,34.78000,34.19000,34.78000,6924,2613100
2013.01.23,34.87000,34.93000,34.41000,34.53000,7373,3030800
2013.01.24,34.65000,34.79000,33.58000,33.81000,11074,3315900
2013.01.28,33.71000,33.76000,32.74000,32.79000,8554,2786800
2013.01.29,32.97000,33.26000,32.47000,33.17000,8254,3199600
2013.01.30,33.13000,33.17000,32.71000,32.75000,11940,4795800
2013.01.31,32.79000,34.06000,32.79000,34.03000,14800,6118300
2013.02.01,34.03000,34.75000,34.03000,34.53000,8082,3924300
2013.02.04,34.30000,34.46000,33.74000,34.19000,10894,5490000
2013.02.05,34.16000,34.87000,33.24000,33.56000,14325,4221200
2013.02.06,33.71000,34.16000,33.30000,33.94000,8907,3788200
2013.02.07,33.64000,34.16000,32.90000,32.99000,10167,3617500
2013.02.08,33.18000,33.34000,32.70000,33.25000,9000,3130400
2013.02.13,33.42000,33.42000,32.93000,33.06000,7834,2836700
2013.02.14,33.06000,33.06000,32.41000,32.61000,8005,3860900
2013.02.15,32.54000,32.69000,32.17000,32.37000,9845,2819200
2013.02.18,32.43000,32.43000,31.93000,32.15000,6887,1877600
2013.02.19,32.26000,32.70000,31.82000,31.82000,8487,3147800
2013.02.20,31.81000,31.87000,30.80000,30.80000,12064,3881400
2013.02.21,30.44000,31.02000,30.25000,31.02000,13977,5027700
2013.02.22,31.05000,31.24000,30.10000,30.19000,11446,7437700
2013.02.25,30.28000,30.62000,30.08000,30.33000,13950,5096100
2013.02.26,30.15000,31.06000,29.94000,30.94000,12963,4856800
2013.02.27,31.10000,31.27000,30.38000,31.27000,11012,3844000
2013.02.28,30.75000,32.25000,30.68000,31.95000,15415,7819600
2013.03.01,31.28000,31.65000,30.99000,31.06000,13531,5637800
2013.03.04,30.65000,30.65000,29.85000,30.12000,10174,3620200
2013.03.05,30.43000,30.62000,29.96000,29.96000,10151,3950000
2013.03.06,30.34000,31.81000,30.01000,31.61000,8503,4038200
2013.03.07,31.87000,32.18000,31.32000,31.59000,12416,5138900
2013.03.08,31.30000,31.89000,30.41000,30.72000,9468,3784700
2013.03.11,30.84000,31.11000,30.28000,30.99000,7302,2558000
2013.03.12,30.99000,31.32000,30.63000,30.67000,7482,2339200
2013.03.13,30.64000,30.72000,29.46000,29.46000,10297,3125300
2013.03.14,29.68000,29.84000,28.90000,29.58000,12894,4622900
2013.03.15,29.68000,30.05000,29.35000,29.35000,13959,7225900
2013.03.18,29.12000,29.60000,28.85000,29.60000,10376,3142100
2013.03.19,29.04000,29.17000,28.32000,28.38000,12628,5137700
2013.03.20,28.59000,29.19000,28.39000,29.03000,17874,5170200
2013.03.21,28.97000,29.33000,28.65000,29.28000,11597,3986700
2013.03.22,29.36000,29.46000,29.00000,29.34000,7335,2361700
2013.03.25,29.41000,29.41000,28.59000,28.95000,8225,2883900
2013.03.26,29.16000,29.29000,28.88000,29.12000,5490,1992700
2013.03.27,29.08000,29.69000,28.70000,29.69000,7780,3071900
2013.03.28,29.53000,29.83000,29.26000,29.50000,9360,2989100
2013.04.01,29.42000,29.52000,28.69000,28.69000,5327,1960700
2013.04.02,28.91000,28.96000,28.04000,28.06000,10518,5334500
2013.04.03,28.04000,29.88000,27.94000,29.88000,15644,6241200
2013.04.04,29.54000,29.75000,28.81000,28.90000,10694,4224900
2013.04.05,28.52000,29.44000,28.26000,29.21000,12926,4538700
2013.04.08,29.25000,29.48000,28.81000,29.33000,10369,6422100
2013.04.09,29.57000,30.94000,29.57000,30.59000,17145,7883500
2013.04.10,30.79000,31.11000,29.46000,29.58000,18925,8485700
2013.04.11,29.71000,29.83000,28.64000,28.86000,12451,5173100
2013.04.12,28.84000,30.31000,28.18000,29.23000,13643,6120200
2013.04.15,28.36000,28.62000,27.44000,27.44000,11245,4351000
2013.04.16,27.93000,28.15000,27.63000,28.06000,11642,5535900
2013.04.17,27.51000,28.17000,26.97000,28.17000,19690,9318200
2013.04.18,28.17000,28.45000,27.53000,27.69000,11313,4232100
2013.04.19,28.07000,28.24000,27.38000,27.86000,8797,4670600
2013.04.22,27.90000,28.26000,27.60000,28.26000,6978,2285700
2013.04.23,28.24000,29.11000,27.84000,28.99000,9569,3365600
2013.04.24,29.15000,29.83000,29.01000,29.15000,12563,7021900
